"Country_Code","Country_Name.x","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"HND","Honduras",3.73114034433009,3.83569066207508,4.12868774866939,2.79155975746801,3.0580805621437,3.84007997093951,3.89297219726413,4.8,3.7,2.7,-5.8,3.7
"HUN","Hungary",0.664291824848817,1.81907995776281,-1.47178885108306,1.96298404862907,4.1950824094781,3.84555770632589,2.19999876125495,4.3,5.1,4.9,-5,4.5
"IND","India",8.49758470158106,5.2413447428854,5.45635895072287,6.38610640094825,7.41022760508852,7.99625344413879,8.25630584417523,7,6.1,4.2,-3.2,3.1
"IDN","Indonesia",6.22385418062366,6.16978420771008,6.03005065305612,5.55726368891013,5.006668425755,4.87632230022122,5.0330691828018,5.1,5.2,5,0,4.8
"IRN","Iran, Islamic Rep.",5.79793830169417,2.64571791806476,-7.4445570297602,-0.194073471015827,4.60341887988824,-1.32064511973337,13.3962444619863,3.8,-4.7,-8.2,-5.3,2.1
"IRQ","Iraq",6.40256484471192,7.546471200426,13.9364301737537,7.60000000000001,0.699999999994745,2.47766461711252,15.2124627340908,-2.5,-0.6,4.4,-9.7,1.9
"JAM","Jamaica",-1.4660592992427,1.73037626746924,-0.613636039869149,0.501560583238899,0.691478108739616,0.922682140310954,1.37563872700204,1,1.9,0.7,-6.2,2.7
"JPN","Japan",4.19173925858955,-0.115421339717841,1.49508958594926,2.0002678411015,0.374719476331322,1.22292104108077,0.521944455410846,2.2,0.3,0.7,-6.1,2.5
"JOR","Jordan",2.31139241481932,2.58678441599322,2.65117074802974,2.8287666404585,3.09633034711061,2.3916959593262,2.00373362488959,2.1,1.9,2,-3.5,2
"KAZ","Kazakhstan",7.30000000016202,7.40000000068395,4.79999999999272,5.99999999925562,4.20000000063038,1.19999999976802,1.09999999990164,4.1,4.1,4.5,-3,2.5
"KEN","Kenya",8.40569922421719,6.1082637197965,4.5632091307112,5.87868056675418,5.35712564449969,5.71850713263132,5.87894929918309,4.8,6.3,5.4,1.5,5.2
"XKX","Kosovo",3.30990760762728,4.37528396183555,2.81026067088996,3.43955088163194,1.22216798708379,4.09519533004044,4.07094885483035,4.2,3.8,4.2,-4.5,5.2
"KWT","Kuwait",-2.37026412020437,9.62840697477567,6.62581830014175,1.14930043706521,0.500876982158658,0.593019617221231,2.92586822591576,-4.7,1.2,0.4,-5.4,1.1
"KGZ","Kyrgyz Republic",-0.471566605987604,5.95627430862646,-0.0881502127179488,10.9154694813983,4.02403862932974,3.87582544285665,4.33585588866971,4.7,3.8,4.5,-4,5.6
"LAO","Lao PDR",8.52690551722873,8.03865268080929,8.02609843404085,8.02630022637751,7.61196344074382,7.27006584339864,7.02283625501138,6.9,6.3,4.7,1,4.6
"LBN","Lebanon",7.97513555920943,0.867339877167865,2.54054249176635,3.81102328373967,2.46136118805316,0.211611959138764,1.52952010698107,0.9,-1.9,-5.6,-10.9,-6.3
"LSO","Lesotho",0.824824732462062,5.35515492144876,6.74362694085697,4.1869122037747,2.88396884428164,2.6501442474809,5.04708318975977,-0.4,1.5,1.4,-5.1,5.5
"LBR","Liberia",6.09982760205581,8.2007658404608,7.99381569313657,8.70402806598014,0.701143911750762,0,-1.59958407502003,2.5,1.2,-2.3,-2.6,4
"MDG","Madagascar",0.619229745623898,1.57842942055571,3.01114640755307,2.30038693447709,3.33920224407332,3.13229588799277,3.99314608499888,3.9,4.6,4.8,-1.2,4
"MWI","Malawi",6.87406563500952,4.85405510898322,1.88579950731867,5.19999999835549,5.70000000377209,2.79999999900333,2.48404062641868,4,3.5,4.4,2,3.5
"MYS","Malaysia",7.42484738326097,5.29391283414003,5.47345419253853,4.69372252557893,6.00672194558203,5.09151572393023,4.44975576515729,5.7,4.7,4.3,-3.1,6.9
"MDV","Maldives",7.26512906840138,8.56673353050461,2.51738394219683,7.28107397899866,7.32962620344684,2.88454852960507,6.33830063626779,6.8,6.9,5.2,-13,8.5
"MLI","Mali",5.31393527895875,3.21313378044307,-0.836627497073124,2.3037669581925,7.101422348075,6.16747921907648,5.76406494460069,5.3,4.7,5.1,0.9,4
"MRT","Mauritania",2.62022952055376,4.1727832830442,4.47001318233691,4.15081318627171,4.27482327130284,5.37633923694933,1.26090922448306,3,3.6,6.3,-2,4.2
"MUS","Mauritius",4.37720323945265,4.07753807362209,3.49611833757979,3.36040610303085,3.74457577257851,3.5530717300396,3.83793262870844,3.8,3.7,3.6,-6.8,6.4
"MEX","Mexico",5.11811814321162,3.66300792950094,3.64232267941347,1.35409196151679,2.80434012838097,3.28799159933094,2.91054645929347,2.1,2.2,-0.3,-7.5,3
"MDA","Moldova",7.10000008379275,5.81816640453508,-0.589734134738677,9.04386552833462,4.99962558416271,-0.338235296100407,4.40888674328883,4.7,4.3,3.6,-3.1,4
"MNG","Mongolia",6.36516168485748,17.290777583689,12.3198198484838,11.6489161898863,7.8852254815194,2.37983580688481,1.1683934561722,5.3,6.9,4.8,-0.5,4.9
"MNE","Montenegro",2.734339250058,3.22845102061058,-2.72379678759444,3.54898055211459,1.78371268120168,3.39035987509256,2.94928570490418,4.7,5.1,3.6,-5.6,4.8
"MAR","Morocco",3.8157179167666,5.24569729729485,3.00996126221978,4.53542420003856,2.66949392694423,4.53637816806425,1.05985639008179,4.2,3,2.3,-4,3.4
"MOZ","Mozambique",6.48814964562332,7.40367267815563,7.25843925258778,6.9636071348707,7.39851279713864,6.72327878035819,3.82421431921188,3.7,3.4,2.2,1.3,3.6
"MMR","Myanmar",9.63443945214478,5.59148237819601,7.33267044715468,8.42600102485174,7.99091559728882,6.99284029025135,5.75006450029507,6.2,6.8,6.3,1.5,6
"NAM","Namibia",6.03924954600474,5.09133819752367,5.0616820132676,5.61471970064093,5.75778884704977,4.52677000113735,-0.280707988212924,-0.3,0.7,-1.1,-4.8,3
